epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,53.4581,3.34139,5.54574,1.35449,0.00021,0.01406,0.00011,4e-05,3.20005,4.1576,1.25108,0.000547373,0.000547373,0.000547373
2,95.7559,3.06547,3.58646,1.19622,0.71037,0.15087,0.1385,0.04953,2.87109,2.72233,1.20928,0.00109212,0.00109212,0.00109212
3,140.026,3.00033,3.09989,1.18197,0.69611,0.18799,0.15183,0.05754,2.8413,2.35613,1.19007,0.00162586,0.00162586,0.00162586
4,188.029,3.05487,2.83968,1.20522,0.74548,0.1564,0.16396,0.06297,2.83046,2.44986,1.20681,0.00161749,0.00161749,0.00161749
5,236.638,2.99002,2.56057,1.18874,0.75744,0.18009,0.18204,0.07111,2.73938,2.23502,1.15495,0.00160099,0.00160099,0.00160099
6,283.676,2.92064,2.50527,1.15392,0.74461,0.18325,0.19199,0.07436,2.77984,2.1419,1.15406,0.00158448,0.00158448,0.00158448
7,331.24,2.89845,2.33828,1.16337,0.74757,0.16268,0.16617,0.05611,2.90306,2.25759,1.18265,0.00156798,0.00156798,0.00156798
8,378.383,2.89613,2.33082,1.15788,0.75554,0.19898,0.20197,0.07748,2.72439,2.13167,1.16404,0.00155148,0.00155148,0.00155148
9,424.533,2.85527,2.2892,1.12522,0.7506,0.20695,0.20316,0.07213,2.78207,2.13322,1.17976,0.00153497,0.00153497,0.00153497
10,474.786,2.8009,2.19447,1.14107,0.76806,0.20932,0.21331,0.0828,2.68645,2.04289,1.17374,0.00151847,0.00151847,0.00151847
11,525.83,2.82671,2.23307,1.14863,0.75306,0.20616,0.20941,0.07798,2.65177,2.10973,1.14675,0.00150197,0.00150197,0.00150197
12,573.9,2.7734,2.17207,1.12732,0.78226,0.22322,0.23101,0.09463,2.64084,2.02727,1.13937,0.00148546,0.00148546,0.00148546
13,621.657,2.75299,2.13589,1.12483,0.77933,0.19352,0.20301,0.07731,2.6712,2.02901,1.1378,0.00146896,0.00146896,0.00146896
14,668.323,2.73063,2.1251,1.13375,0.7604,0.19194,0.19491,0.07403,2.73384,2.13442,1.16335,0.00145246,0.00145246,0.00145246
15,719.112,2.78213,2.12287,1.1355,0.79321,0.21406,0.23021,0.08941,2.58795,2.03268,1.13523,0.00143595,0.00143595,0.00143595
16,767.254,2.77894,2.11229,1.11714,0.77328,0.22469,0.22072,0.0909,2.62761,2.01744,1.15355,0.00141945,0.00141945,0.00141945
17,815.408,2.78676,2.12451,1.14714,0.78795,0.22038,0.232,0.09223,2.62629,2.02272,1.14568,0.00140295,0.00140295,0.00140295
18,863.24,2.7494,2.0776,1.1241,0.76127,0.23539,0.23167,0.08978,2.57363,1.98365,1.13439,0.00138644,0.00138644,0.00138644
19,912.259,2.71498,2.07459,1.1135,0.7853,0.23144,0.22905,0.09032,2.58228,2.01016,1.145,0.00136994,0.00136994,0.00136994
20,958.704,2.69925,2.05721,1.12106,0.77287,0.23302,0.24167,0.09903,2.53634,1.97164,1.12246,0.00135344,0.00135344,0.00135344
21,1007.47,2.72618,2.07635,1.11894,0.75061,0.23302,0.22353,0.08527,2.65107,2.03189,1.14673,0.00133693,0.00133693,0.00133693
22,1055.43,2.70698,2.02608,1.13426,0.79901,0.22275,0.24393,0.1022,2.52754,1.90751,1.11729,0.00132043,0.00132043,0.00132043
23,1106.06,2.66488,2.01899,1.12531,0.77371,0.22433,0.22909,0.09218,2.58067,1.93639,1.11589,0.00130393,0.00130393,0.00130393
24,1153.76,2.64995,2.01828,1.11697,0.77871,0.21643,0.22758,0.08717,2.58841,1.98376,1.09856,0.00128742,0.00128742,0.00128742
25,1200.43,2.67765,2.02208,1.10433,0.81188,0.20537,0.23969,0.10121,2.54608,1.90399,1.12769,0.00127092,0.00127092,0.00127092
26,1247.25,2.61549,1.9322,1.09779,0.81289,0.22749,0.25238,0.10988,2.5525,1.896,1.13343,0.00125442,0.00125442,0.00125442
27,1294.67,2.56573,1.93495,1.08118,0.783,0.23934,0.25073,0.10268,2.49679,1.93715,1.10936,0.00123791,0.00123791,0.00123791
28,1341.82,2.57494,1.94981,1.08539,0.79242,0.22828,0.24439,0.10021,2.50721,1.927,1.10939,0.00122141,0.00122141,0.00122141
