epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,53.8048,3.34139,5.54574,1.35449,0.00021,0.01406,0.00011,4e-05,3.20005,4.1576,1.25108,0.000547373,0.000547373,0.000547373
2,99.8616,3.04706,3.55303,1.18826,0.70183,0.14455,0.1282,0.04464,2.88979,2.73824,1.2037,0.0010812,0.0010812,0.0010812
3,144.477,3.00569,3.09674,1.17928,0.71211,0.17226,0.16278,0.05718,2.83888,2.38844,1.19419,0.00159302,0.00159302,0.00159302
4,189.074,3.01594,2.83812,1.2052,0.73183,0.13349,0.13401,0.04951,2.95284,2.52346,1.25944,0.00156798,0.00156798,0.00156798
5,234.462,2.96049,2.5658,1.19296,0.74491,0.1767,0.17459,0.06499,2.76449,2.26575,1.19155,0.00153497,0.00153497,0.00153497
6,279.878,2.91883,2.51427,1.15843,0.71431,0.18957,0.18354,0.07046,2.87023,2.37381,1.18049,0.00150197,0.00150197,0.00150197
7,327.202,2.86719,2.32847,1.16015,0.7371,0.19448,0.18761,0.06759,2.7574,2.1743,1.15379,0.00146896,0.00146896,0.00146896
8,373.984,2.87952,2.31834,1.15354,0.75644,0.19212,0.20695,0.07968,2.69873,2.16368,1.15968,0.00143595,0.00143595,0.00143595
9,418.154,2.84905,2.27065,1.12681,0.77054,0.19984,0.20674,0.08273,2.69531,2.09344,1.17878,0.00140295,0.00140295,0.00140295
10,465.461,2.79279,2.19222,1.1435,0.75813,0.18167,0.19405,0.07673,2.73168,2.16052,1.15297,0.00136994,0.00136994,0.00136994
11,511.61,2.82661,2.22971,1.14821,0.74748,0.203,0.19636,0.077,2.66807,2.09636,1.16159,0.00133693,0.00133693,0.00133693
12,558.013,2.78547,2.18161,1.12942,0.77177,0.21722,0.22401,0.08866,2.61026,2.03119,1.1302,0.00130393,0.00130393,0.00130393
13,605.993,2.73001,2.10612,1.11827,0.80537,0.20695,0.22772,0.08774,2.61142,1.92307,1.11933,0.00127092,0.00127092,0.00127092
14,654.034,2.7157,2.0795,1.12532,0.7647,0.18404,0.1884,0.06515,2.88517,2.12122,1.21088,0.00123791,0.00123791,0.00123791
15,700.78,2.76183,2.10427,1.1369,0.79474,0.22354,0.23713,0.09869,2.52953,1.92988,1.12145,0.00120491,0.00120491,0.00120491
16,744.698,2.71672,2.06812,1.10871,0.79435,0.2267,0.23712,0.09672,2.55167,1.9341,1.12831,0.0011719,0.0011719,0.0011719
17,793.394,2.74201,2.07658,1.1364,0.77481,0.23327,0.23462,0.0948,2.55564,1.96194,1.12104,0.00113889,0.00113889,0.00113889
18,843.117,2.69146,2.04604,1.10936,0.77103,0.22749,0.23229,0.08716,2.63722,1.93549,1.12557,0.00110589,0.00110589,0.00110589
19,889.656,2.67186,2.04076,1.11411,0.78436,0.23749,0.24868,0.09884,2.5417,1.96652,1.13106,0.00107288,0.00107288,0.00107288
20,935.626,2.67116,2.03366,1.11311,0.79371,0.21564,0.22895,0.08949,2.56246,2.17218,1.12607,0.00103987,0.00103987,0.00103987
21,979.799,2.69185,2.0471,1.11222,0.79902,0.21625,0.22874,0.09157,2.6438,1.96661,1.14228,0.00100687,0.00100687,0.00100687
22,1029.07,2.67947,2.0117,1.13031,0.77554,0.23302,0.23607,0.09805,2.56602,1.93535,1.13062,0.000973861,0.000973861,0.000973861
23,1076.31,2.64787,2.00213,1.119,0.78293,0.24297,0.24755,0.09818,2.51468,1.87134,1.11391,0.000940855,0.000940855,0.000940855
24,1127.28,2.60746,1.97648,1.10322,0.80014,0.22038,0.23108,0.08862,2.5884,1.91301,1.10739,0.000907848,0.000907848,0.000907848
25,1177.06,2.63191,1.96631,1.09842,0.80534,0.22986,0.25261,0.10018,2.54573,1.89495,1.11981,0.000874842,0.000874842,0.000874842
26,1226.14,2.56852,1.89085,1.08901,0.81596,0.23731,0.25849,0.10904,2.47001,1.83513,1.11047,0.000841835,0.000841835,0.000841835
27,1273.39,2.56176,1.89885,1.08738,0.80094,0.23381,0.25579,0.11056,2.47204,1.87749,1.10788,0.000808828,0.000808828,0.000808828
28,1322.13,2.55167,1.92551,1.08785,0.81159,0.24724,0.27281,0.10943,2.42939,1.81187,1.09343,0.000775822,0.000775822,0.000775822
29,1370.38,2.51688,1.87675,1.08916,0.78281,0.24789,0.25047,0.1039,2.44739,1.81683,1.08837,0.000742815,0.000742815,0.000742815
30,1420.37,2.50574,1.86903,1.0833,0.81276,0.24329,0.27055,0.11339,2.41408,1.84887,1.09769,0.000709809,0.000709809,0.000709809
