epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.4421,2.10445,3.88478,1.76203,0.00282,0.72827,0.15049,0.05198,1.96957,3.55312,2.09526,0.00043342,0.00043342,0.00043342
2,20.2773,1.77213,2.61306,1.48502,0.14349,0.51384,0.23907,0.09753,1.95447,3.14401,1.68369,0.000866017,0.000866017,0.000866017
3,27.0545,1.68525,2.16997,1.43214,0.7449,0.26562,0.33245,0.14868,1.87071,2.71265,1.80204,0.00128079,0.00128079,0.00128079
4,33.8583,1.65079,2.01217,1.43477,0.58076,0.42412,0.39657,0.17002,1.91343,2.49188,1.76832,0.00156798,0.00156798,0.00156798
5,40.5193,1.65296,1.91507,1.42331,0.43108,0.64127,0.57249,0.21982,1.97219,1.92842,1.60048,0.00153497,0.00153497,0.00153497
6,47.1348,1.56761,1.74918,1.37892,0.60944,0.66443,0.6508,0.30764,1.6804,1.79175,1.49343,0.00150197,0.00150197,0.00150197
7,53.7361,1.53025,1.58835,1.31526,0.57739,0.68527,0.64018,0.26775,1.8315,2.21103,1.59337,0.00146896,0.00146896,0.00146896
8,60.3737,1.55436,1.58948,1.33794,0.7922,0.59836,0.72029,0.35264,1.60357,1.56941,1.42777,0.00143595,0.00143595,0.00143595
9,66.9832,1.54426,1.47343,1.34142,0.49994,0.59435,0.50375,0.2393,1.70242,1.89746,1.38884,0.00140295,0.00140295,0.00140295
10,73.5419,1.48206,1.34763,1.3164,0.63963,0.67098,0.66434,0.33409,1.61719,1.47801,1.33899,0.00136994,0.00136994,0.00136994
11,80.1112,1.43534,1.31049,1.28106,0.75384,0.68403,0.72848,0.40123,1.55258,1.33612,1.36008,0.00133693,0.00133693,0.00133693
12,86.692,1.45005,1.26522,1.2903,0.83304,0.69801,0.78392,0.41961,1.53057,1.20505,1.36393,0.00130393,0.00130393,0.00130393
13,93.3502,1.41708,1.21127,1.23946,0.64158,0.52708,0.61649,0.29001,1.79975,1.52196,1.49256,0.00127092,0.00127092,0.00127092
14,99.9274,1.43896,1.24555,1.27491,0.86527,0.72907,0.82098,0.40108,1.63028,1.23543,1.40692,0.00123791,0.00123791,0.00123791
15,106.467,1.40817,1.17489,1.20878,0.738,0.74962,0.74046,0.39963,1.60384,1.19991,1.36065,0.00120491,0.00120491,0.00120491
16,112.997,1.38938,1.14964,1.22295,0.72169,0.60104,0.64847,0.33355,1.75079,1.35326,1.37542,0.0011719,0.0011719,0.0011719
17,119.53,1.41362,1.14689,1.23501,0.78947,0.73327,0.75782,0.39644,1.62416,1.14584,1.35297,0.00113889,0.00113889,0.00113889
18,126.166,1.34186,1.08116,1.208,0.7006,0.73998,0.75679,0.38992,1.68714,1.31683,1.38236,0.00110589,0.00110589,0.00110589
19,132.714,1.44604,1.11729,1.24464,0.78535,0.77796,0.81464,0.44499,1.55786,1.11062,1.31038,0.00107288,0.00107288,0.00107288
20,139.213,1.37077,1.02818,1.22008,0.83821,0.69924,0.78862,0.42682,1.52091,1.18885,1.29871,0.00103987,0.00103987,0.00103987
21,145.712,1.37064,1.02546,1.22534,0.87456,0.77111,0.80545,0.45093,1.4974,1.13818,1.35843,0.00100687,0.00100687,0.00100687
22,152.311,1.35561,1.02129,1.21774,0.81013,0.80758,0.82304,0.44436,1.5056,1.1218,1.30627,0.000973861,0.000973861,0.000973861
23,158.971,1.27735,0.98338,1.18594,0.76502,0.7997,0.80137,0.44826,1.54141,1.12706,1.33736,0.000940855,0.000940855,0.000940855
24,165.533,1.27688,0.9315,1.17131,0.86524,0.81533,0.84132,0.47045,1.45429,1.01932,1.25221,0.000907848,0.000907848,0.000907848
25,172.081,1.27791,0.92398,1.17265,0.88681,0.82476,0.84289,0.47021,1.37556,1.00368,1.20777,0.000874842,0.000874842,0.000874842
26,178.635,1.28899,0.94746,1.16807,0.85147,0.85322,0.86702,0.50307,1.415,0.9874,1.26421,0.000841835,0.000841835,0.000841835
27,185.15,1.30125,0.91902,1.18135,0.84454,0.80625,0.84085,0.48041,1.46517,1.00318,1.22901,0.000808828,0.000808828,0.000808828
28,191.776,1.26903,0.88947,1.15478,0.90333,0.76141,0.84747,0.50321,1.41064,0.99612,1.23308,0.000775822,0.000775822,0.000775822
29,198.261,1.26553,0.89933,1.16226,0.90553,0.81496,0.87016,0.51445,1.39631,0.9479,1.22742,0.000742815,0.000742815,0.000742815
30,204.756,1.24839,0.85541,1.14057,0.86563,0.77511,0.84381,0.46547,1.5165,1.05951,1.23659,0.000709809,0.000709809,0.000709809
31,211.292,1.25174,0.86023,1.1496,0.88944,0.79622,0.84709,0.50206,1.42352,1.01726,1.22902,0.000676802,0.000676802,0.000676802
32,217.838,1.23525,0.87058,1.13137,0.85915,0.80484,0.83156,0.47132,1.45083,1.02194,1.24287,0.000643795,0.000643795,0.000643795
33,224.422,1.21954,0.84619,1.11522,0.86484,0.76499,0.85081,0.48174,1.46527,1.03934,1.24946,0.000610789,0.000610789,0.000610789
34,230.934,1.24776,0.84718,1.12427,0.85302,0.81762,0.82945,0.4769,1.51803,0.96536,1.24498,0.000577782,0.000577782,0.000577782
35,237.439,1.17866,0.80333,1.1128,0.84798,0.80421,0.82309,0.45986,1.46435,1.01842,1.27767,0.000544776,0.000544776,0.000544776
36,244.119,1.19006,0.79428,1.12115,0.84671,0.83231,0.86954,0.51187,1.44896,0.91781,1.2084,0.000511769,0.000511769,0.000511769
37,250.651,1.17799,0.7912,1.10195,0.83629,0.8244,0.84322,0.50318,1.433,0.96978,1.25804,0.000478762,0.000478762,0.000478762
38,257.228,1.16515,0.78276,1.09543,0.8741,0.83869,0.83944,0.47747,1.4687,0.9783,1.32653,0.000445756,0.000445756,0.000445756
39,263.85,1.17577,0.79263,1.10717,0.92788,0.81913,0.87655,0.5015,1.44567,0.92363,1.2257,0.000412749,0.000412749,0.000412749
40,270.355,1.15549,0.77704,1.10194,0.91103,0.85376,0.886,0.5209,1.34439,0.8893,1.17439,0.000379743,0.000379743,0.000379743
41,278.048,1.1124,0.8101,1.06352,0.92619,0.7925,0.8654,0.50103,1.44564,1.01351,1.23768,0.000346736,0.000346736,0.000346736
42,284.621,1.12679,0.80234,1.07657,0.87864,0.87515,0.87722,0.52032,1.34843,0.86547,1.201,0.000313729,0.000313729,0.000313729
43,291.265,1.11886,0.79284,1.09126,0.87752,0.87515,0.88384,0.51887,1.40538,0.8578,1.19755,0.000280723,0.000280723,0.000280723
