epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,57.5775,3.35865,5.18773,1.3661,1e-05,0.00079,1e-05,0,2.95206,3.9586,1.25149,0.000547373,0.000547373,0.000547373
2,106.097,3.1334,3.44606,1.2315,0.752,0.05766,0.09468,0.03137,3.21302,3.22849,1.38124,0.00109212,0.00109212,0.00109212
3,156.423,3.06546,3.02566,1.21285,0.69342,0.19236,0.15039,0.05338,2.90605,2.47691,1.21849,0.00162586,0.00162586,0.00162586
4,203.332,3.07476,2.75621,1.23189,0.72477,0.15561,0.15595,0.05552,2.88697,2.31113,1.2324,0.00161749,0.00161749,0.00161749
5,252.571,2.99248,2.50991,1.20822,0.71135,0.18641,0.17184,0.06559,2.76244,2.23962,1.19472,0.00160099,0.00160099,0.00160099
6,300.947,2.96964,2.45465,1.18039,0.7488,0.19793,0.19129,0.07059,2.81299,2.24236,1.18813,0.00158448,0.00158448,0.00158448
7,346.725,2.87702,2.31209,1.18275,0.72181,0.20028,0.18821,0.06726,2.79864,2.21021,1.1962,0.00156798,0.00156798,0.00156798
8,390.5,2.93464,2.31413,1.17702,0.76147,0.19589,0.19328,0.06313,2.88483,2.17239,1.18591,0.00155148,0.00155148,0.00155148
9,439.17,2.91783,2.29339,1.15738,0.75835,0.15166,0.16054,0.05686,2.99637,2.26614,1.25763,0.00153497,0.00153497,0.00153497
10,488.806,2.84476,2.22237,1.16296,0.74155,0.1485,0.14724,0.05215,3.01175,2.42527,1.26292,0.00151847,0.00151847,0.00151847
11,536.56,2.84838,2.24973,1.16942,0.79579,0.20616,0.2189,0.0828,2.70134,2.1478,1.18513,0.00150197,0.00150197,0.00150197
12,583.754,2.81228,2.16358,1.15105,0.78816,0.19826,0.21748,0.08263,2.6875,2.08835,1.16518,0.00148546,0.00148546,0.00148546
13,630.094,2.79036,2.13809,1.14976,0.77597,0.19654,0.21467,0.08572,2.61534,2.00119,1.14526,0.00146896,0.00146896,0.00146896
14,678.972,2.77264,2.11805,1.15096,0.75338,0.18167,0.18144,0.065,2.83026,2.17947,1.20233,0.00145246,0.00145246,0.00145246
15,728.443,2.80318,2.13286,1.15785,0.77843,0.19273,0.20278,0.07837,2.67712,2.13061,1.18327,0.00143595,0.00143595,0.00143595
16,776.675,2.78353,2.10248,1.13842,0.78701,0.21643,0.22502,0.09106,2.56435,1.99896,1.13058,0.00141945,0.00141945,0.00141945
17,826.58,2.80856,2.13712,1.15969,0.73491,0.20458,0.19785,0.07839,2.69204,2.11434,1.17198,0.00140295,0.00140295,0.00140295
18,876.216,2.75882,2.07047,1.14173,0.7967,0.22019,0.23882,0.09577,2.58258,1.93304,1.14704,0.00138644,0.00138644,0.00138644
19,927.955,2.75133,2.09978,1.13685,0.77039,0.17062,0.18149,0.06745,2.80897,2.27494,1.20556,0.00136994,0.00136994,0.00136994
20,978.498,2.74177,2.06906,1.13391,0.7804,0.21381,0.22325,0.0915,2.59797,2.03581,1.14169,0.00135344,0.00135344,0.00135344
21,1029.7,2.72248,2.06716,1.13156,0.77627,0.21169,0.21667,0.08729,2.69609,1.97982,1.18551,0.00133693,0.00133693,0.00133693
22,1079.62,2.70421,2.0398,1.14831,0.78368,0.22375,0.2312,0.09444,2.53597,1.93181,1.12181,0.00132043,0.00132043,0.00132043
