epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.1173,2.15699,3.62046,1.71541,0.00298,0.77247,0.08719,0.02839,2.10864,3.61247,1.94107,0.00043342,0.00043342,0.00043342
2,27.4576,1.87385,2.52003,1.49242,0.00256,0.64003,0.00363,0.00117,2.70487,5.22296,2.57753,0.000874763,0.000874763,0.000874763
3,36.601,1.77516,2.22695,1.49216,0.75064,0.11458,0.19538,0.07139,2.09485,3.60193,2.02726,0.00130719,0.00130719,0.00130719
4,45.6988,1.76406,2.11526,1.47614,0.58563,0.45015,0.46138,0.17227,2.10838,2.33497,1.88882,0.00161749,0.00161749,0.00161749
5,54.7306,1.75119,1.87861,1.44194,0.45196,0.52693,0.45291,0.1748,2.00579,2.28789,2.11933,0.00160099,0.00160099,0.00160099
6,63.7586,1.70842,1.7619,1.40956,0.45694,0.37307,0.4336,0.21553,1.82036,2.59804,1.63743,0.00158448,0.00158448,0.00158448
7,72.7496,1.6467,1.592,1.3854,0.24393,0.45856,0.2488,0.12933,2.00194,4.76723,1.75655,0.00156798,0.00156798,0.00156798
8,81.7096,1.73464,1.59308,1.43991,0.54381,0.63404,0.5567,0.24366,1.82459,2.06916,1.68266,0.00155148,0.00155148,0.00155148
9,90.7413,1.61762,1.47341,1.37559,0.55548,0.54005,0.55186,0.24767,1.84271,1.6903,1.56419,0.00153497,0.00153497,0.00153497
10,99.7159,1.5769,1.37457,1.3581,0.80965,0.62054,0.72921,0.38319,1.66566,1.43758,1.44706,0.00151847,0.00151847,0.00151847
11,108.665,1.51681,1.36285,1.3301,0.57862,0.65551,0.58242,0.25418,1.82963,1.62296,1.46366,0.00150197,0.00150197,0.00150197
12,117.788,1.58822,1.32059,1.33335,0.65945,0.6657,0.68912,0.33663,1.67863,1.38491,1.45246,0.00148546,0.00148546,0.00148546
13,126.722,1.50496,1.25195,1.30099,0.74607,0.57381,0.61388,0.31785,1.66773,1.57931,1.39856,0.00146896,0.00146896,0.00146896
14,135.699,1.52812,1.236,1.31753,0.77183,0.60223,0.66414,0.33879,1.70109,1.42605,1.45654,0.00145246,0.00145246,0.00145246
15,144.598,1.48922,1.17263,1.27368,0.77147,0.67634,0.72373,0.36902,1.74289,1.32165,1.51598,0.00143595,0.00143595,0.00143595
16,153.572,1.48457,1.15214,1.27673,0.76785,0.675,0.7501,0.37663,1.62254,1.41858,1.39593,0.00141945,0.00141945,0.00141945
17,162.47,1.53832,1.21177,1.3024,0.43111,0.59286,0.42555,0.1989,1.79044,1.98009,1.54262,0.00140295,0.00140295,0.00140295
18,171.411,1.4695,1.14272,1.26758,0.78135,0.66324,0.69354,0.37897,1.63586,1.33181,1.37688,0.00138644,0.00138644,0.00138644
19,180.349,1.46508,1.11822,1.27478,0.73422,0.6189,0.71317,0.37553,1.71226,1.46359,1.42943,0.00136994,0.00136994,0.00136994
20,189.321,1.44777,1.05626,1.25005,0.85787,0.72702,0.78339,0.40831,1.61408,1.26616,1.33513,0.00135344,0.00135344,0.00135344
21,198.209,1.44653,1.08638,1.25674,0.78232,0.70357,0.74084,0.37924,1.65752,1.42477,1.41433,0.00133693,0.00133693,0.00133693
22,207.118,1.45092,1.10502,1.25796,0.67944,0.72826,0.76327,0.38735,1.69768,1.32768,1.40761,0.00132043,0.00132043,0.00132043
